domain,category,theme,bg,text,accent,font_1,font_2,hero_px,hero_weight,hero_lh,hero_ls_em,hero_words,hero_align,h2_px,body_px,body_lh,gutter_px,fullbleed_media,video,btn_radius,btn_h,page_screens,hero_text
crafted.is,gallery,dark,#121212,#7e7e7e,,Inter,GT Walsheim Pro Regular,54,400,1.1,-0.05,8,center,40,18,1.6,320,0,1,pill,44,9.7,"Your new SaaS website, live in 2 weeks"
cushion.so,gallery,light,#f5f5f5,#1f1f1f,#00a6f4,ui-sans-serif,Inter Tight,60,600,1,0,7,center,36,18,1.56,89,0,0,8,40,9.3,Work messaging that keeps your team organised
deepjudge.ai,gallery,dark,#000000,#1a1a1a,#ede9e5,Suisse intl,Suisse works,96,400,1,-0.05,8,center,64,16,1.3,88,0,0,,,13.6,Legal AI that starts with everything you know
diabrowser.com,gallery,light,#f8f8f8,#000000,,ABC Oracle,ABC Oracle Triple,,,,,,,54,14,1.43,,1,1,pill,50,7.9,
dovetailapp.com,gallery,dark,#0a0a0a,#ffffff,,Inter,JetBrains Mono,48,600,1.17,-0.021,3,left,64,16,1.5,124,2,0,8,40,19.7,Introducing Digital Twins
equals.app,gallery,light,#faf9f5,#000000,#b074ce,Unica77,Serrif Condensed,110,400,1,-0.02,8,center,48,18,1.33,87,2,1,pill,44,10.8,AI for the numbers that can’t be wrong.
fizzy.do,gallery,light,#ffffff,null,,Inter,Scorekard,64,700,1.1,-0.015,10,center,64,19,1.5,195,0,0,,,6.0,Kanban as it should be. Not as it has been.
fold.money,gallery,light,#ffffff,#20294c,#f0f1f5,GT Walsheim Pro,,100,700,0.85,-0.03,4,center,64,24,1.5,222,1,1,8,40,14.3,Be 😜 painfully aware.
fora-concept.com,gallery,light,#ffffff,#000000,,Theinhardt,,,,,,,,,,,457,0,1,,,1.0,
frames.so,gallery,light,#ffffff,null,,Manrope,,72,400,1,0,6,center,24,,,132,0,0,,,4.9,Supercharge your design workflow with AI
futureagi.com,gallery,dark,#0a0a0a,#71717a,,Inter,JetBrains Mono,96,300,1.1,-0.025,6,center,60,13,1.63,270,0,0,pill,36,17.0,"AI Agents hallucinate, fix it faster."
gettakecontrol.app,gallery,light,#eaeae7,#7f7f7e,,Figtree,,62,500,1.06,-0.01,9,center,36,16,1.25,252,0,1,pill,38,10.9,TakeControl: app para dividir despesas de casal e viagem
grain.co,gallery,light,#fafafa,#707070,#009959,Inter Variablefont Slnt Wght,Poppins,60,600,1.04,-0.017,7,left,38,14,1.5,86,2,0,8,46,10.8,The AI notetaker for agents and teams
hasko.com,gallery,light,#fbfbfb,#fbfbfb,,TWKEverett,,72,400,1.05,0,6,left,50,18,1.5,40,2,1,,,7.4,Tillväxt byggt på ambition och förtroende
headroom.com,gallery,light,#ffffff,#ffffff,,twkLaussanneFont,interFont,88,700,1,-0.02,6,center,24,18,1.44,232,0,0,6,48,4.2,You built your business by hand.
heartaerospace.com,gallery,light,#ffffff,#767676,,nhgText,,,,,,,,50,18,1.5,48,3,1,,,7.1,
hopin.com,gallery,light,#ffffff,#000000,#007db8,Matter,,72,600,1.05,-0.02,5,left,48,20,1.71,108,0,0,pill,39,4.5,Hopin is now RingCentral Events
housemait.com,gallery,light,#ffffff,#000000,,Times New Roman,,32,700,,0,5,left,24,16,,8,2,0,,,13.3,"Family life, organized with AI."
humblytics.com,gallery,light,#ffffff,null,,Inter,,42,500,1.1,-0.04,8,center,36,16,1.6,259,0,0,7,44,8.5,See what drives revenue. Test what grows it.
interfere.com,gallery,light,#ffffff,#000000,,InterVariable,BerkeleyMono,56,500,1,-0.01,5,left,28,13,1.54,120,0,0,8,36,8.3,Ship software that never breaks
jasper.ai,gallery,light,#ffffff,#00063d,,ABC ROM,Feature,80,450,1,-0.03,7,center,28,16,1.2,40,4,0,,,12.0,Put AI agents to work for marketing
jonite.com,gallery,light,#e6e7e8,#0e0e0e,,PP Neue Montreal,Silka Mono,,,,,,,24,16,1.5,24,16,0,pill,32,16.9,
kosmik.app,gallery,light,#fff8f5,#3c3c3c,#f57127,SuperBlue Regular,SuperBlue Light,90,700,1,0,4,left,32,20,1.55,152,1,0,15,52,6.2,Kosmik is winding down…
kyoso.com,gallery,light,#ffffff,null,,ui-sans-serif,Manrope,104,500,1.02,-0.05,6,center,24,20,1.63,60,3,1,,,19.2,"Brief, design, animate, edit. One canvas."
milanote.com,gallery,dark,#303b4b,#5d6673,#f4511c,Inter,Tiempos,64,600,1.33,0,4,center,40,24,1.25,220,1,0,6,41,9.7,Get organized. Stay creative.
mobbin.com,gallery,light,#ffffff,#141414,,M Saans 456,M Saans Variable Light,80,652,1,-0.007,4,center,56,16,1.38,169,0,1,pill,44,12.1,Discover real-world design inspiration.
monologue.to,gallery,dark,#121212,#ffffff,,geistMono,monologueSerifBook,80,400,0.9,-0.04,4,center,24,16,1.45,161,0,0,8,45,16.5,Builders think out loud.
motion.dev,gallery,dark,#0e1312,null,,TASA Orbiter,Geist Mono,44,700,1.05,-0.04,7,left,34,15,1.55,72,0,1,,,11.9,Motion. Production-grade animation library for the web.
neuemontreal.com,gallery,dark,#1a1a1a,#252525,,PP Neue Montreal Text Regular,PP Neue Montreal Text Variable Variable Regular,74,700,0.9,0,3,left,48,16,1,24,7,1,,,25.2,Official Travel Guide
nucleoapp.com,gallery,light,#fafafa,#1b2023,,Inter,PPNikkeiMaru,76,600,1,-0.025,4,center,60,20,1.4,80,0,0,8,42,7.3,The ultimate icon bundle
opennode.com,gallery,light,#ffffff,#3e485b,#4996f0,Roboto,,58,700,1.1,0,7,left,38,18,1.78,144,0,1,pill,48,8.3,Bitcoin payments at the speed of now
otter.ai,gallery,light,#ffffff,#000000,#346e4a,Circular,,58,300,1.1,-0.02,10,left,55,14,1.4,72,2,1,15,53,12.4,Your AI notetaker is now also your Conversational Knowledge Engine
oxiinstruments.com,gallery,dark,#010101,#f1f1f1,,Work Sans Variable,Fragment Mono,,,,,,,55,,,28,4,1,4,44,15.3,
paper.design,gallery,light,#ffffff,null,,Matter,Inter,48,360,1,-0.02,2,center,48,18,1.56,189,5,0,,,11.6,design incredible
pasteapp.io,gallery,light,#ffffff,#101010,#0a84ff,system-ui,,60,700,1.03,0.01,6,center,54,18,1.44,220,1,1,pill,36,9.0,Everything you copy on every device
perspective.co,gallery,light,#ffffff,#4a4a4a,#0071eb,Inter F,,72,700,1.1,-0.01,6,center,32,16,1.5,77,3,1,6,48,11.7,Double Your Business with Perspective Funnels™
phantom.app,gallery,light,#f5f2ff,#3c315b,#e2dffe,Phantom,,96,400,1.1,-0.025,4,center,24,20,1.2,100,0,1,pill,52,8.9,Trading tools for everyone
podium.global,gallery,dark,#000000,#000000,,Futura,Univers Condensed,,,,,,,62,16,0.9,23,0,0,,,6.8,
ponder.ai,gallery,dark,#020202,#f1f1f1,,Lay Grotesk,,58,500,1,-0.01,2,center,58,,,,1,1,5,38,16.9,"Video Editing,"
press.stripe.com,gallery,dark,#201819,#000000,,Ivar Text,Ivar Headline,,,,,,,,18,1.5,202,1,1,,,7.6,
relume.ai,gallery,light,#f1f0ee,#101010,#ff00f4,Geist Variable,Helvetica Now Display,56,400,1.2,-0.03,7,center,32,18,1.5,170,2,1,6,34,8.5,Build a marketing site you’d actually publish
sandbar.com,gallery,light,#faf8f0,#6f6e6e,,Messina Sans,,76,300,1.2,-0.06,3,left,30,18,1.4,48,4,1,pill,41,9.7,"Your Voice, Anywhere"
sort.to,gallery,light,#ffffff,null,,Inter,,40,400,1.2,-0.003,3,center,40,16,1.6,235,0,1,,,5.0,Your distraction-free reader
supercut.ai,gallery,dark,#100e0e,#969692,,InterVariable,,60,500,1.1,-0.018,7,left,32,18,1.44,151,0,1,10,32,9.4,Supercut is how teams explain work better.
topology.vc,gallery,dark,#151515,#9b9b9b,,Space Mono,LazareGrotesk,135,300,0.9,-0.01,5,left,48,14,1.4,193,1,0,,,1.0,Meet us at the edge.
tranched.fi,gallery,dark,#020617,#ffffff,,Inter,Inter-Medium,96,500,1.1,0,3,center,,18,1.4,208,2,0,pill,52,9.5,The Real Economy.
untillabs.com,gallery,light,#f7f3ec,#121212,,neueHaasText,neueHaasDisplay,,,,,,,24,16,1.5,,2,0,,,40.0,
usedropshot.com,gallery,dark,#0a0a0c,#ffffff,#0066ff,Switzer,Roboto Mono,48,400,1.1,-0.01,6,center,40,28,1.4,90,1,1,pill,36,9.6,Cinematic product shots in your browser.
valar.com,gallery,light,#fbfbfb,#000000,,HelveticaNeue LT 55 Roman,,63,400,1,-0.01,10,left,50,,,41,0,1,,,10.5,"We invest in high-margin, fast-growing technology companies across the globe."
waabi.ai,gallery,light,#ffffff,null,#ff2c6b,Zagma,NeueHaas,150,400,0.85,-0.048,3,left,40,16,1.4,103,4,1,,,12.5,Built to think.
wisprflow.ai,gallery,light,#ffffeb,#1a1a1a,#f0d7ff,Figtree,Eb garamond,96,400,0.95,-0.03,4,center,75,20,0.95,,3,0,pill,32,19.9,"Don’t type, just speak."
wist.chat,gallery,light,#ffffff,null,,InterVariable,LyonText,74,400,1.05,-0.041,6,center,38,16,1.5,104,0,0,,,13.4,AI Live Chat With a Brain.
withremark.com,gallery,light,#fdfbfb,#141414,#eb684e,Circular,Gelica,45,400,1.1,-0.015,7,center,38,17,1.5,90,0,1,pill,44,10.6,The only agent built for elevated brands
wwake.com,gallery,light,#ffffff,#777576,,Unica,,40,300,,0.003,2,center,22,14,1.15,570,3,1,0,51,6.1,Plinth Continued
brooklinen.com,health,light,#fdfaf8,#283455,#283455,BrandonTextWeb-Regular,BrandonTextWeb-Bold,36,400,1.15,0,2,left,30,20,,,2,1,20,56,6.7,Offer Terms
calm.com,health,light,#ffffff,#1c1c1c,,Figtree,,50,700,1.5,0,6,center,32,22,1.5,136,3,0,0,35,7.1,Calm your mind. Change your life.
endel.io,health,dark,#000000,#bfbfbf,,apercuPro,,,,,,,,44,22,1.27,168,6,1,12,44,13.6,
functionhealth.com,health,light,#fef9ef,#515151,#b05a36,FT Base,Financier Display,80,300,0.9,0,3,left,45,14,1.5,96,2,1,pill,40,13.6,Check your health.
headspace.com,health,light,#ffffff,#2d2c2b,#0061ef,Headspace Apercu,,52,700,1.1,-0.03,2,center,40,16,1.5,138,0,0,pill,48,9.7,Sleep better
levels.com,health,light,#f5f7f7,#585a59,,ttHoves,,102,500,0.95,-0.05,6,left,32,16,1.78,120,1,1,8,36,14.4,See how food affects your health.
lovi.care,health,light,#ffffff,#000000,,Geist,Inter,48,400,0.92,-0.042,6,center,44,16,1.38,304,3,1,10,34,13.2,Science-backed AI Cosmetologist you can trust
mejuri.com,health,light,#ffffff,#000000,,SyndicatGrotesk,SimonMono,,,,,,,32,12,1.33,32,1,0,,,4.6,
parachutehome.com,health,light,#ffffff,#3b3b3b,,Suisse Intl,Petrona,80,400,1.15,0,3,center,32,14,1.36,56,4,1,2,32,8.4,You've Got An
ritual.com,health,light,#ffffff,#142b6f,#142b6f,CircularXX,Dutch801 Rm BT,48,450,1.2,-0.01,5,left,40,16,1.5,,0,1,pill,45,8.5,Good habits come in sets
ro.co,health,light,#ffffff,#1a1a1a,,Ro Sans,,46,400,1.2,-0.03,3,left,23,14,1.38,144,6,1,,,9.3,Healthier on Ro
seed.com,health,dark,#1c3a13,#fcfcf7,#1c3a13,Seed Sans,,48,350,1.1,-0.025,8,left,48,16,1.3,32,1,1,8,38,8.4,"A life-changing health routine, built for your microbiome."
superpower.com,health,light,#ffffff,#18181b,,Nb international pro webfont,,56,400,1,-0.02,4,left,45,17,1.44,52,9,1,pill,38,16.9,Your new health membership
warbyparker.com,health,light,#ffffff,#121212,#1050d0,fontAbcSocial,sans-serif,,,,,,,24,,,74,4,1,pill,50,12.7,
acehotel.com,hospitality,dark,#000000,#231f20,#ff944c,Bianco Sans,Toronto Gothic,140,300,0.95,-0.01,4,center,28,14,1.5,52,1,0,0,48,5.6,Welcome to Ace Hotel
airbnb.com,hospitality,light,#ffffff,#6c6c6c,,Airbnb Cereal VF,,28,700,1.43,0,2,left,,,,82,0,0,0,28,1.0,Airbnb homepage
aman.com,hospitality,light,#f3eee7,#313131,,Lyon Display Web,WhitneySSm,,,,,,,31,14,1.45,25,0,0,0,42,6.5,
anuchome.com,hospitality,light,#ffffff,#1a1a1e,,Instrument Serif,Instrument Sans,52,400,1.1,0,4,left,52,18,1.2,364,2,0,0,64,10.0,"Transformamos espacios, conectamos emociones"
atlason.com,hospitality,light,#ffffff,#000000,,haas-grotesk-tx-pro,haas-grotesk-ds-pro,,,,,,,,,,189,1,1,0,42,1.0,
editionhotels.com,hospitality,light,#ffffff,#757575,,HelveticaNeueLTStd-Lt,helveticaltstd-bold-webfont,,,,,,,48,14,1.64,,2,1,0,45,7.5,
fosterandpartners.com,hospitality,dark,#1a1a1a,#ffffff,,open sans,,,,,,,,,19,1.5,56,11,1,pill,33,5.1,
heatherwick.com,hospitality,light,#f4f3ef,#48594a,,Plantin W01 Light,Relative-Book-Web,52,400,1.2,0,9,center,27,18,1.44,,1,1,,,5.0,"Designing joyful, engaging, human places all over the world"
mock.nyc,hospitality,light,#fdfaeb,#000000,,neue-haas-grotesk-text,,,,,,,,32,,,40,1,1,0,30,8.1,
sixsenses.com,hospitality,light,#ffffff,#666666,#4d1443,Avenir Next,Avenir Next Condensed,58,400,1.1,-0.02,17,left,32,16,1.6,,7,1,pill,50,8.0,"Some places you visit. Others, you feel, by reconnecting with yourself, others, and the world around you."
snohetta.com,hospitality,light,#ffffff,#000000,,Dovre,,60,300,1.03,0,12,left,22,22,1.45,40,0,0,,,6.3,"Snøhetta is a global transdisciplinary practice, working on projects of all scales."
sohohouse.com,hospitality,light,#fffef7,#000000,,HK Grotesk,Cardo,56,400,1.25,0,7,center,48,16,1.13,16,0,1,pill,40,3.6,Membership unlocks the world of Soho House
standardhotels.com,hospitality,light,#ffffff,#ffffff,#ee2324,TradeGothicBoldCondTwenty,GT Zirkon,50,400,0.85,-0.03,3,left,39,15,1.3,15,4,0,0,75,1.0,"High Line, NYC"
studiochen.co,hospitality,light,#ffffff,#000000,,edition,,,,,,,,,12,1.5,10,0,0,,,10.8,
unstudio.com,hospitality,dark,#000000,#000000,#e6cbef,helvetica,sans-serif,48,500,1.1,0,24,left,48,16,1.5,9,0,1,,,18.1,We’ve always thrived on thinking differently — because that’s where true progress lies. We look beyond architecture. We 
zaha-hadid.com,hospitality,dark,#000000,#ffffff,,Neue Haas Unica W1G,ui-sans-serif,36,400,1.11,-0.025,6,left,36,24,1.17,,3,0,,,8.4,"Over 40 years designing, building, innovating"
artlebedev.ru,russia,light,#ffffff,#ffffff,#414eea,ALSArtemiusSans,,,,,,,,,,,21,1,1,,,19.2,
coffeemania.ru,russia,light,#ffffff,#ffffff,#ec4c41,Suisse Intl,,36,500,1.39,0,2,left,,,,436,0,0,14,40,5.3,Рестораны «Кофемании»
donstroy.com,russia,light,#f2f3f7,#36187d,#35b8fc,Gilroy,,64,600,1.06,0,2,left,,16,1.17,72,1,0,12,64,11.9,Татарская 35
go.yandex,russia,light,#ffffff,#000000,,YS Text,,40,500,1,0,3,left,40,14,1.43,113,1,0,pill,70,8.8,"Ехать, отправлять, встречать"
kode.ru,russia,dark,#000000,#ffffff,,Montserrat,Gilroy,58,700,1,0,2,left,35,14,1.2,16,1,1,0,43,3.6,Мы разрабатываем
level.ru,russia,dark,#283c4b,#2d2f33,,Stolzl,,800,400,1,0,6,left,28,12,1.3,76,0,0,pill,40,7.7,Level Group - лидер московского девелопмента
plus.yandex.ru,russia,light,#f1f3f5,#171a24,#3e68ff,YS Text,,40,500,1.1,-0.025,4,left,,,,120,0,0,pill,32,1.0,"Скорее всего, включён VPN"
practicum.yandex.ru,russia,light,#ffffff,#ffffff,,YS Text,,48,400,1.04,-0.01,8,center,48,16,1.25,60,0,1,4,35,11.6,Курсы для востребованных специалистов — сразу с нейросетями
readymag.com,russia,dark,#444444,#ffffff,#ec520b,custom_190030,custom_157067,40,400,0.95,-0.022,4,left,,10,1.2,70,0,1,pill,40,7.1,What you can publish
redcollar.ru,russia,light,#fafafa,#fafafa,,TTCommons,,,,,,,,130,18,1.6,108,2,1,pill,52,13.3,
